Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-12-28,How the Grinch Stole Christmas,2000,https://boxd.it/2pa2gL,4,,,2021-12-24
2021-12-28,Arthur Christmas,2011,https://boxd.it/2pa2pt,5,,,2021-12-24
2021-12-28,Taxi Driver,1976,https://boxd.it/2pa1MV,4,,,2021-12-27
2021-12-28,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/2p9WxV,4,Yes,,2021-12-28
2021-12-29,Gangs of New York,2002,https://boxd.it/2ppjHz,2,,,2021-12-29
2021-12-30,The Pursuit of Happyness,2006,https://boxd.it/2pFWPf,4.5,Yes,,2021-12-29
2021-12-30,Uncut Gems,2019,https://boxd.it/2pFXv1,4,,,2021-12-29
2021-12-31,Onward,2020,https://boxd.it/2pTxa5,3.5,,,2021-12-30
2022-01-02,Premonition,2007,https://boxd.it/2qvgoP,1,,,2022-01-01
2022-01-02,The Incredibles,2004,https://boxd.it/2qwU6X,3,,,2022-01-01
2022-01-08,Forrest Gump,1994,https://boxd.it/2s4Rkz,5,,,2022-01-07
2022-01-08,Blades of Glory,2007,https://boxd.it/2s4RSr,4,,,2022-01-07
2022-01-08,Falling Down,1993,https://boxd.it/2s8Swp,3.5,,,2022-01-08
2022-01-08,Guess Who's Coming to Dinner,1967,https://boxd.it/2s9Ww1,4.5,,,2022-01-08
2022-01-09,Billy Madison,1995,https://boxd.it/2slNY5,2.5,,,2022-01-08
2022-01-15,Big,1988,https://boxd.it/2tXJPj,4,,,2022-01-15
2022-01-30,Big Hero 6,2014,https://boxd.it/2xcwml,4.5,Yes,,2022-01-30
2022-02-06,Action U.S.A.,1989,https://boxd.it/2ytjMX,2.5,,,2022-02-05
2022-02-06,Death Spa,1988,https://boxd.it/2yukmN,2,,,2022-02-05
2022-02-23,The Trial of the Chicago 7,2020,https://boxd.it/2BFVrz,5,,,2022-02-23
2022-04-21,The Pianist,2002,https://boxd.it/2M0zjv,4,,,2022-04-20
2022-10-10,Hachi: A Dog's Tale,2009,https://boxd.it/3jel9h,4.5,,,2022-10-09
2022-12-16,Everything Everywhere All at Once,2022,https://boxd.it/3xk5UT,5,,,2022-12-15
2023-01-09,WALL·E,2008,https://boxd.it/3FHtgB,5,,,2023-01-08
2023-01-10,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/3G52Dr,4.5,,,2023-01-09
2023-01-10,Diary of a Wimpy Kid: Dog Days,2012,https://boxd.it/3G6aGF,3,,,2023-01-09
2023-01-14,Mr. Bean's Holiday,2007,https://boxd.it/3HmZ3b,4,,,2023-01-13
2023-01-14,Stone Cold,1991,https://boxd.it/3HxKJt,2.5,,,2023-01-13
2023-01-16,Tower Heist,2011,https://boxd.it/3IkR3H,2.5,,,2023-01-15
2023-01-27,Coach Carter,2005,https://boxd.it/3LM3U5,5,,,2023-01-26
2023-01-31,Meet the Robinsons,2007,https://boxd.it/3N2R61,4.5,Yes,,2023-01-30
2023-02-06,Zootopia,2016,https://boxd.it/3OZBjP,3.5,,,2023-02-06
2023-02-17,Ron's Gone Wrong,2021,https://boxd.it/3ROWKn,2.5,,,2023-02-16
2023-02-23,Behind Enemy Lines,2001,https://boxd.it/3Tz3iV,3.5,,,2023-02-22
2023-03-09,Sharper,2023,https://boxd.it/3Xn3JJ,3,,,2023-03-08
2023-03-09,Cocaine Bear,2023,https://boxd.it/3XsT5B,3.5,,,2023-03-08
2023-03-09,Speed,1994,https://boxd.it/3XubQ3,4.5,,,2023-03-08
2023-03-10,Onward,2020,https://boxd.it/3XJNuJ,4,Yes,,2023-03-10
2023-03-16,Jumanji,1995,https://boxd.it/3ZsX2z,4,,,2023-03-16
2023-03-24,Alvin and the Chipmunks,2007,https://boxd.it/41p733,1.5,,,2023-03-23
2023-03-24,Alvin and the Chipmunks: The Squeakquel,2009,https://boxd.it/41yRBt,1,,,2023-03-24
2023-04-04,The Martian,2015,https://boxd.it/44zRhd,4.5,,,2023-04-04
2023-04-09,Django Unchained,2012,https://boxd.it/461Sf3,5,,,2023-04-09
2023-04-13,The Room,2003,https://boxd.it/46YGqB,0.5,,,2023-04-12
2023-04-29,The Super Mario Bros. Movie,2023,https://boxd.it/4b7hlZ,3,,,2023-04-28
2023-05-06,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4dhnLd,4.5,,,2023-05-06
2023-05-22,Doctor Dolittle,1998,https://boxd.it/4h4MV3,2,,,2023-05-21
2023-05-23,RV,2006,https://boxd.it/4hsarH,3.5,,,2023-05-22
2023-05-24,The Proposal,2009,https://boxd.it/4hJXR9,4.5,,,2023-05-24
2023-05-24,Dr. Dolittle 2,2001,https://boxd.it/4hJYmB,1.5,,,2023-05-24
2023-06-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4kQefP,5,,,2023-06-04
2023-06-12,The Little Mermaid,1989,https://boxd.it/4mJchj,3,,,2023-06-11
2023-06-16,Cars,2006,https://boxd.it/4nzpor,4.5,,,2023-06-15
2023-06-16,Cars 2,2011,https://boxd.it/4nABcf,4,,,2023-06-15
2023-06-18,How to Train Your Dragon,2010,https://boxd.it/4o9WTf,4.5,,,2023-06-17
2023-06-18,Escape Room,2019,https://boxd.it/4oo8Tf,1.5,,,2023-06-18
2023-06-22,We Bought a Zoo,2011,https://boxd.it/4puBQl,4,,,2023-06-21
2023-06-25,The Blackening,2022,https://boxd.it/4qk4n5,4.5,,,2023-06-24
2023-06-28,Cloudy with a Chance of Meatballs,2009,https://boxd.it/4rcWTH,4,,,2023-06-27
