Date,Name,Year,Letterboxd URI
2021-12-28,Knives Out,2019,https://boxd.it/jWEA
2021-12-28,Jojo Rabbit,2019,https://boxd.it/iEBG
2021-12-28,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2022-10-01,The Boy Who Harnessed the Wind,2019,https://boxd.it/hIgA
2023-01-09,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O
2023-01-09,Gone Girl,2014,https://boxd.it/6hQu
2023-01-09,Se7en,1995,https://boxd.it/29zs
2023-01-09,Black Swan,2010,https://boxd.it/Sw0
2023-01-09,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2023-01-09,Arrival,2016,https://boxd.it/aNGk
2023-01-09,Don't Look Up,2021,https://boxd.it/o0Hc
2023-01-09,Glass Onion,2022,https://boxd.it/oCkK
2023-01-09,Us,2019,https://boxd.it/gnV6
2023-01-09,Dunkirk,2017,https://boxd.it/d0Y6
2023-03-14,They Live,1988,https://boxd.it/20lm
2023-03-27,Rain Man,1988,https://boxd.it/2avw
2023-04-09,Men in Black,1997,https://boxd.it/2a0I
2023-04-09,Reservoir Dogs,1992,https://boxd.it/2agc
2023-04-09,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
2023-04-09,Jackie Brown,1997,https://boxd.it/2aVO
2023-04-09,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2023-04-09,Raging Bull,1980,https://boxd.it/28yI
2023-04-09,The Irishman,2019,https://boxd.it/dYOq
2023-04-09,The Aviator,2004,https://boxd.it/26BU
2023-04-09,Jaws,1975,https://boxd.it/2a5e
2023-04-09,Casablanca,1942,https://boxd.it/2aG0
2023-04-09,The Terminator,1984,https://boxd.it/2aQY
2023-04-09,Citizen Kane,1941,https://boxd.it/71O
2023-04-09,Saving Private Ryan,1998,https://boxd.it/29ro
2023-04-09,Catch Me If You Can,2002,https://boxd.it/29VS
2023-04-09,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G
2023-04-09,The Green Mile,1999,https://boxd.it/2agG
2023-04-09,Cast Away,2000,https://boxd.it/20i8
2023-04-09,The Post,2017,https://boxd.it/fTeG
2023-04-09,A Man Called Otto,2022,https://boxd.it/zl06
2023-04-25,Dallas Buyers Club,2013,https://boxd.it/4O8G
2023-04-29,Beau Is Afraid,2023,https://boxd.it/u2gE
2023-04-29,Air,2023,https://boxd.it/Arlc
2023-06-29,CODA,2021,https://boxd.it/tbf4
